name,happy_ending,notes
Tonari no Totoro,1,Wholesome closure
Ookami Kodomo no Ame to Yuki,1,Bittersweet but fulfilling
Toki wo Kakeru Shoujo,1,Hopeful promise
Clannad: After Story,1,Miraculous reunion
Angel Beats!,1,Peaceful closure
Steins;Gate,1,Timeline restored
Gintama,1,Hopeful/positive closure
Barakamon,1,Personal growth resolution
K-On!,1,Warm graduation
K-On!!,1,Warm graduation
Nichijou,1,Slice-of-life closure
Usagi Drop,1,Heartwarming resolution
Tengen Toppa Gurren Lagann,1,"Triumphant, hopeful future"
Bakuman. 3rd Season,1,Career success
Shirobako,1,Project success
Hyouka,1,Personal growth
Ano Natsu de Matteru,1,Bittersweet reunion
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,1,Clear resolution consistent with label
Ore Monogatari!!,1,Romance fulfilled
Kimi ni Todoke 2nd Season,1,Romance fulfilled
Mob Psycho 100,1,Growth and peace
Kokoro Connect: Michi Random,1,Friendship restored
Chihayafuru 2,1,Positive progress
Great Teacher Onizuka,1,Students saved
Non Non Biyori Repeat,1,Peaceful closure
Sword Art Online,1,Reunited/couple
Kaze Tachinu,0,Tragic loss
Byousoku 5 Centimeter,0,Separation and regret
Shigatsu wa Kimi no Uso,0,Character death
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,0,Farewell of lost friend
Shingeki no Kyojin,0,Sacrifice/bleak tone
Code Geass: Hangyaku no Lelouch R2,0,Sacrifice for peace
Elfen Lied,0,Tragic ending
Berserk,0,Horror/tragedy
Berserk: Ougon Jidai-hen III - Kourin,0,Eclipse tragedy
Kara no Kyoukai 5: Mujun Rasen,0,Dark resolution
Texhnolyze,0,Collapse of society
Serial Experiments Lain,0,Existential loss
Aku no Hana,0,Bleak/alienation
Perfect Blue,0,Psychological breakdown
Hoshi wo Ou Kodomo,0,Loss and separation
Black Bullet,0,Tragic setbacks
Gakkougurashi!,0,Zombie/survival losses
Kizumonogatari III: Reiketsu-hen,0,Tragic price
Tenshi no Tamago,0,Abstract tragedy
Psycho-Pass,0,Cynical system persists
Gankutsuou,0,Revenge costs
Akira,0,Destructive ending
Mahou Shoujo Madokaâ˜…Magica,0,Sacrifice to save others
Fate/Zero,0,Heroic tragedy
